date,mission,device_type,device_status,hash
20231228175654,TMRS,satelite,warning,-6625544497731334568
20231228175654,TMRS,traje,warning,3301273444179910831
20231228175654,TMRS,satelite,unknown,-6625544497731334568
20231228175654,TMRS,satelite,killed,-6625544497731334568
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,satelite,killed,-6625544497731334568
20231228175654,TMRS,transbordador,unknown,-342232800976489755
20231228175654,TMRS,satelite,faulty,-6625544497731334568
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,satelite,unknown,-6625544497731334568
20231228175654,TMRS,nave,killed,-2446771713884996998
20231228175654,TMRS,nave,unknown,-2446771713884996998
20231228175654,TMRS,traje,killed,3301273444179910831
date,mission,device_type,device_status,hash
20231228175654,ORBONE,traje,excellent,-5678972179623235201
20231228175654,ORBONE,satelite,unknown,-1557403430809297112
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,transbordador,unknown,-2320121022689309124
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,transbordador,warning,-2320121022689309124
20231228175654,ORBONE,traje,killed,-5678972179623235201
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,satelite,faulty,-1557403430809297112
20231228175654,ORBONE,transbordador,killed,-2320121022689309124
20231228175654,ORBONE,traje,killed,-5678972179623235201
20231228175654,ORBONE,satelite,faulty,-1557403430809297112
20231228175654,ORBONE,nave,warning,-4424659935597816367
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,transbordador,warning,-2320121022689309124
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,traje,excellent,-5678972179623235201
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,satelite,killed,-1557403430809297112
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,transbordador,warning,-2320121022689309124
20231228175654,ORBONE,traje,killed,-5678972179623235201
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,transbordador,unknown,-2320121022689309124
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,transbordador,warning,-2320121022689309124
20231228175654,ORBONE,transbordador,killed,-2320121022689309124
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,traje,excellent,-5678972179623235201
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,traje,unknown,-5678972179623235201
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,transbordador,unknown,-2320121022689309124
20231228175654,ORBONE,nave,faulty,-4424659935597816367
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,transbordador,killed,-2320121022689309124
20231228175654,ORBONE,satelite,unknown,-1557403430809297112
20231228175654,ORBONE,satelite,warning,-1557403430809297112
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,traje,unknown,-5678972179623235201
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,satelite,faulty,-1557403430809297112
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,traje,unknown,-5678972179623235201
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,transbordador,killed,-2320121022689309124
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,satelite,killed,-1557403430809297112
20231228175654,ORBONE,traje,excellent,-5678972179623235201
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,satelite,warning,-1557403430809297112
20231228175654,ORBONE,satelite,excellent,-1557403430809297112
20231228175654,ORBONE,traje,unknown,-5678972179623235201
20231228175654,ORBONE,transbordador,warning,-2320121022689309124
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,traje,excellent,-5678972179623235201
20231228175654,ORBONE,traje,excellent,-5678972179623235201
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,transbordador,unknown,-2320121022689309124
20231228175654,ORBONE,satelite,unknown,-1557403430809297112
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,satelite,faulty,-1557403430809297112
20231228175654,ORBONE,traje,killed,-5678972179623235201
20231228175654,ORBONE,satelite,faulty,-1557403430809297112
20231228175654,ORBONE,nave,warning,-4424659935597816367
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,traje,warning,-5678972179623235201
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,transbordador,warning,-2320121022689309124
20231228175654,ORBONE,satelite,unknown,-1557403430809297112
20231228175654,ORBONE,transbordador,excellent,-2320121022689309124
20231228175654,ORBONE,nave,killed,-4424659935597816367
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,nave,warning,-4424659935597816367
20231228175654,ORBONE,traje,faulty,-5678972179623235201
20231228175654,ORBONE,nave,excellent,-4424659935597816367
20231228175654,ORBONE,traje,unknown,-5678972179623235201
20231228175654,ORBONE,nave,faulty,-4424659935597816367
20231228175654,ORBONE,nave,unknown,-4424659935597816367
20231228175654,ORBONE,transbordador,faulty,-2320121022689309124
20231228175654,ORBONE,satelite,killed,-1557403430809297112
date,mission,device_type,device_status,hash
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
date,mission,device_type,device_status,hash
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175924,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
20231228175925,UNKN,unknown,unknown,
